Team;Tournament
Manchester City;Premier League
Bayern Munich;Bundesliga
Paris Saint-Germain;Ligue 1
Barcelona;LaLiga
Real Madrid;LaLiga
Manchester United;Premier League
Juventus;Serie A
Aston Villa;Premier League
Borussia Dortmund;Bundesliga
Atletico Madrid;LaLiga
Atalanta;Serie A
Chelsea;Premier League
Liverpool;Premier League
AC Milan;Serie A
Lille;Ligue 1
Tottenham;Premier League
Napoli;Serie A
Leicester;Premier League
Wolfsburg;Bundesliga
Inter;Serie A
Lyon;Ligue 1
RB Leipzig;Bundesliga
Leeds;Premier League
West Ham;Premier League
Everton;Premier League
Bayer Leverkusen;Bundesliga
Eintracht Frankfurt;Bundesliga
Monaco;Ligue 1
Roma;Serie A
Sevilla;LaLiga
Borussia M.Gladbach;Bundesliga
Arsenal;Premier League
Rennes;Ligue 1
VfB Stuttgart;Bundesliga
Wolverhampton Wanderers;Premier League
Sassuolo;Serie A
Metz;Ligue 1
Villarreal;LaLiga
Real Sociedad;LaLiga
Brighton;Premier League
Real Betis;LaLiga
Burnley;Premier League
Lens;Ligue 1
Brest;Ligue 1
Fulham;Premier League
Marseille;Ligue 1
Sampdoria;Serie A
Montpellier;Ligue 1
Nice;Ligue 1
Hoffenheim;Bundesliga
Southampton;Premier League
Newcastle United;Premier League
Lazio;Serie A
Nantes;Ligue 1
Union Berlin;Bundesliga
Strasbourg;Ligue 1
Crystal Palace;Premier League
Freiburg;Bundesliga
Valencia;LaLiga
Celta Vigo;LaLiga
Reims;Ligue 1
Torino;Serie A
Verona;Serie A
Saint-Etienne;Ligue 1
Bordeaux;Ligue 1
Hertha Berlin;Bundesliga
Cagliari;Serie A
Mainz 05;Bundesliga
Bologna;Serie A
Augsburg;Bundesliga
Udinese;Serie A
SD Huesca;LaLiga
Athletic Bilbao;LaLiga
Osasuna;LaLiga
Lorient;Ligue 1
Genoa;Serie A
Arminia Bielefeld;Bundesliga
Angers;Ligue 1
Eibar;LaLiga
Werder Bremen;Bundesliga
Fiorentina;Serie A
Nimes;Ligue 1
West Bromwich Albion;Premier League
FC Koln;Bundesliga
Deportivo Alaves;LaLiga
Levante;LaLiga
Spezia;Serie A
Getafe;LaLiga
Parma Calcio 1913;Serie A
Elche;LaLiga
Granada;LaLiga
Cadiz;LaLiga
Real Valladolid;LaLiga
Sheffield United;Premier League
Crotone;Serie A
Benevento;Serie A
Dijon;Ligue 1
Schalke 04;Bundesliga
